/net09 X,/net09 Y,/net1 X,/net1 Y,/o1 X,/o1 Y
0,4.999999981631962,0,0,0,1.704906655848801e-08
2.5e-11,4.999999981631962,2.5e-11,0,2.5e-11,1.704906651971815e-08
7.5e-11,4.999999981631963,7.5e-11,0,7.5e-11,1.704906645579872e-08
1.75e-10,4.999999981631964,1.75e-10,0,1.75e-10,1.704906571492802e-08
3.749999999999999e-10,4.999999981631962,3.749999999999999e-10,0,3.749999999999999e-10,1.70490663541161e-08
6.25e-10,4.999999981631962,6.25e-10,0,6.25e-10,1.704906665205527e-08
8.125e-10,4.999999981631962,8.125e-10,0,8.125e-10,1.704906666598085e-08
1e-09,4.999999981631961,1e-09,0,1e-09,1.704906662743376e-08
1.000049164419211e-09,5.000072171019784,1.000049164419211e-09,0.002458220960538196,1.000049164419211e-09,1.525109805258677e-05
1.000083734786125e-09,5.000122923754872,1.000083734786125e-09,0.004186739306253255,1.000083734786125e-09,2.595109355576746e-05
1.000152875519954e-09,5.000224393713173,1.000152875519954e-09,0.007643775997683371,1.000152875519954e-09,4.730356854232272e-05
1.000291156987611e-09,5.000427179243301,1.000291156987611e-09,0.0145578493805436,1.000291156987611e-09,8.980490510742329e-05
1.000567719922925e-09,5.000832125981123,1.000567719922925e-09,0.02838599614626407,1.000567719922925e-09,0.000173988259104826
1.001120845793554e-09,5.00163954127461,1.001120845793554e-09,0.05604228967770501,1.001120845793554e-09,0.000339120984745051
1.002227097534812e-09,5.003244666307501,1.002227097534812e-09,0.1113548767405869,1.002227097534812e-09,0.0006568513718667395
1.004439601017327e-09,5.006417728564958,1.004439601017327e-09,0.2219800508663506,1.004439601017327e-09,0.001245249434456068
1.008061415872626e-09,5.011512467110995,1.008061415872626e-09,0.4030707936312786,1.008061415872626e-09,0.002086756074221611
1.011862154557439e-09,5.016737552709664,1.011862154557439e-09,0.5931077278719458,1.011862154557439e-09,0.002827205406164551
1.015814877509985e-09,5.022073510013567,1.015814877509985e-09,0.7907438754992259,1.015814877509985e-09,0.003468749326273092
1.018351382086249e-09,5.025644510490659,1.018351382086249e-09,0.9175691043124274,1.018351382086249e-09,0.003858033481834251
1.020732479188112e-09,5.029203138741907,1.020732479188112e-09,1.036623959405619,1.020732479188112e-09,0.004230262938605268
1.022576671981251e-09,5.031873164379002,1.022576671981251e-09,1.12883359906254,1.022576671981251e-09,0.004478049068974184
1.024294809855711e-09,5.034217586973607,1.024294809855711e-09,1.21474049278555,1.024294809855711e-09,0.004663925405543694
1.0266711040289e-09,5.03718461279716,1.0266711040289e-09,1.333555201445001,1.0266711040289e-09,0.004845599500861504
1.031106719588081e-09,5.041752884398746,1.031106719588081e-09,1.55533597940407,1.031106719588081e-09,0.004956140715749456
1.037858469829571e-09,5.04603084192573,1.037858469829571e-09,1.892923491478567,1.037858469829571e-09,0.004602244284240597
1.04290872713001e-09,5.047000735826301,1.04290872713001e-09,2.145436356500518,1.04290872713001e-09,0.003968315296415723
1.047538682027362e-09,5.046139368521054,1.047538682027362e-09,2.376934101368085,1.047538682027362e-09,0.003146144163584255
1.05215927674739e-09,5.043559679026367,1.05215927674739e-09,2.607963837369522,1.05215927674739e-09,0.002127560988482343
1.056779439328897e-09,5.039223662090902,1.056779439328897e-09,2.838971966444864,1.056779439328897e-09,0.0009382532902048025
1.061605474908431e-09,5.032784877268798,1.061605474908431e-09,3.080273745421543,1.061605474908431e-09,-0.000482203228744734
1.070857222254788e-09,5.01481619413527,1.070857222254788e-09,3.542861112739419,1.070857222254788e-09,-0.003656200913048216
1.075391862597981e-09,5.003231757744894,1.075391862597981e-09,3.769593129899042,1.075391862597981e-09,-0.005369463520936746
1.079484352620807e-09,4.991120662597551,1.079484352620807e-09,3.974217631040348,1.079484352620807e-09,-0.007002940656835737
1.081304478763986e-09,4.984950334059624,1.081304478763986e-09,4.065223938199321,1.081304478763986e-09,-0.00781160378087007
1.083271350548059e-09,4.97714573888307,1.083271350548059e-09,4.163567527402936,1.083271350548059e-09,-0.008861388867378549
1.084762119906281e-09,4.970624171710698,1.084762119906281e-09,4.238105995314051,1.084762119906281e-09,-0.009732989236966751
1.086275411336663e-09,4.963712004845852,1.086275411336663e-09,4.313770566833156,1.086275411336663e-09,-0.01062829089341794
1.08769399048122e-09,4.957015647966597,1.08769399048122e-09,4.384699524061015,1.08769399048122e-09,-0.01146537613565299
1.089923908670631e-09,4.946082723167883,1.089923908670631e-09,4.496195433531565,1.089923908670631e-09,-0.01277317236040286
1.094383745049453e-09,4.922720250451106,1.094383745049453e-09,4.719187252472664,1.094383745049453e-09,-0.01536415950600522
1.1e-09,4.890418238346511,1.1e-09,5,1.1e-09,-0.01859802304281695
1.101136928071555e-09,4.882438857970186,1.101136928071555e-09,5,1.101136928071555e-09,-0.01945636500833133
1.102093863132331e-09,4.875723872165453,1.102093863132331e-09,5,1.102093863132331e-09,-0.02015973595419417
1.103272097955832e-09,4.867461104157242,1.103272097955832e-09,5,1.103272097955832e-09,-0.02099222345823286
