/O X,/O Y,/net8 X,/net8 Y,/net3 X,/net3 Y
0,4.999999981632027,0,2.892568355444196e-08,0,5
2.5e-11,4.999999981631999,2.5e-11,2.892567897469222e-08,2.5e-11,5
7.5e-11,4.999999981631976,7.5e-11,2.892567858522665e-08,7.5e-11,5
1.75e-10,4.999999981631961,1.75e-10,2.892567972183454e-08,1.75e-10,5
3.749999999999999e-10,4.99999998163196,3.749999999999999e-10,2.892568325554839e-08,3.749999999999999e-10,5
6.25e-10,4.999999981631961,6.25e-10,2.892568440868272e-08,6.25e-10,5
8.125e-10,4.999999981631961,8.125e-10,2.892568397519076e-08,8.125e-10,5
1e-09,4.999999981631961,1e-09,2.892568410835868e-08,1e-09,5
1.000247799255115e-09,4.999745807199411,1.000247799255115e-09,-0.001196300421892585,1.000247799255115e-09,4.987610037244262
1.000433590833727e-09,4.9995556639642,1.000433590833727e-09,-0.00209470195598161,1.000433590833727e-09,4.978320458313673
1.00080517399095e-09,4.999177109939629,1.00080517399095e-09,-0.003896962942838265,1.00080517399095e-09,4.959741300452494
1.00122761550533e-09,4.998749843206111,1.00122761550533e-09,-0.005954579767211038,1.00122761550533e-09,4.938619224733498
1.00207249853409e-09,4.997906147255806,1.00207249853409e-09,-0.01009375841920764,1.00207249853409e-09,4.896375073295505
1.003246789608031e-09,4.996759588715364,1.003246789608031e-09,-0.01588772312080175,1.003246789608031e-09,4.837660519598446
1.004410265967888e-09,4.995655759219258,1.004410265967888e-09,-0.02166087214261733,1.004410265967888e-09,4.779486701605621
1.005667038537403e-09,4.994501763384005,1.005667038537403e-09,-0.0279165084060691,1.005667038537403e-09,4.716648073129865
1.007044342000866e-09,4.993285093092813,1.007044342000866e-09,-0.034776837817215,1.007044342000866e-09,4.647782899956697
1.008547357827984e-09,4.992016397084059,1.008547357827984e-09,-0.04225000252165263,1.008547357827984e-09,4.572632108600824
1.010202485427869e-09,4.990689909014208,1.010202485427869e-09,-0.05045199202727457,1.010202485427869e-09,4.489875728606533
1.012025680818148e-09,4.989297194248873,1.012025680818148e-09,-0.05951715802825522,1.012025680818148e-09,4.398715959092621
1.014008092352373e-09,4.987778770201825,1.014008092352373e-09,-0.06980400083216025,1.014008092352373e-09,4.299595382381368
1.015447472311892e-09,4.986653918605287,1.015447472311892e-09,-0.07764810953445417,1.015447472311892e-09,4.227626384405393
1.017353609133527e-09,4.985242616067129,1.017353609133527e-09,-0.08801054428211659,1.017353609133527e-09,4.132319543323652
1.01871930336556e-09,4.984309911093455,1.01871930336556e-09,-0.09529530092814366,1.01871930336556e-09,4.064034831722021
1.020357868097846e-09,4.983304516022673,1.020357868097846e-09,-0.1037316836339275,1.020357868097846e-09,3.982106595107679
1.022257490353449e-09,4.982296730384895,1.022257490353449e-09,-0.1130488146914279,1.022257490353449e-09,3.887125482327541
1.025393811236554e-09,4.980997369404425,1.025393811236554e-09,-0.1272451041890777,1.025393811236554e-09,3.730309438172278
1.029378617274171e-09,4.979972630198549,1.029378617274171e-09,-0.1430092121892188,1.029378617274171e-09,3.531069136291447
1.034119774948896e-09,4.979600005169828,1.034119774948896e-09,-0.1582795603044474,1.034119774948896e-09,3.294011252555222
1.039751447086053e-09,4.980228091379072,1.039751447086053e-09,-0.1713145030586032,1.039751447086053e-09,3.012427645697337
1.046535232044457e-09,4.982313975848681,1.046535232044457e-09,-0.1794838963861161,1.046535232044457e-09,2.673238397777156
1.054922486025789e-09,4.986550188734924,1.054922486025789e-09,-0.1780095883663183,1.054922486025789e-09,2.253875698710539
1.061585834028209e-09,4.991018379906826,1.061585834028209e-09,-0.167560344659324,1.061585834028209e-09,1.920708298589564
1.066099644163541e-09,4.994473639210456,1.066099644163541e-09,-0.1560011843869578,1.066099644163541e-09,1.695017791822977
1.070213849298164e-09,4.997939687712206,1.070213849298164e-09,-0.141981002019782,1.070213849298164e-09,1.489307535091799
1.074877384079623e-09,5.002357382475337,1.074877384079623e-09,-0.1217086822832079,1.074877384079623e-09,1.256130796018835
1.079572676958334e-09,5.007391811278794,1.079572676958334e-09,-0.09598016027102689,1.079572676958334e-09,1.021366152083313
1.083544442551048e-09,5.01221585774782,1.083544442551048e-09,-0.06890562207363643,1.083544442551048e-09,0.82277787244759
1.0852718773412e-09,5.014640999350718,1.0852718773412e-09,-0.05479048568223957,1.0852718773412e-09,0.7364061329399938
1.086971766779321e-09,5.017348242195435,1.086971766779321e-09,-0.0388597773280531,1.086971766779321e-09,0.6514116610339507
1.088589783637222e-09,5.020191446906247,1.088589783637222e-09,-0.02187830988161165,1.088589783637222e-09,0.5705108181389118
1.089575258747935e-09,5.022062919055402,1.089575258747935e-09,-0.0105875812504252,1.089575258747935e-09,0.5212370626032312
1.090506916235109e-09,5.023935540510239,1.090506916235109e-09,0.0007910755605460819,1.090506916235109e-09,0.4746541882445285
1.09164894542572e-09,5.026318451523284,1.09164894542572e-09,0.01546930101831815,1.09164894542572e-09,0.4175527287140195
1.0926480651981e-09,5.028435647612341,1.0926480651981e-09,0.02876941893258005,1.0926480651981e-09,0.3675967400950064
1.093542606045181e-09,5.030338888954433,1.093542606045181e-09,0.04096207660181117,1.093542606045181e-09,0.3228696977409626
1.094673926050932e-09,5.032748131078454,1.094673926050932e-09,0.05673146871566835,1.094673926050932e-09,0.2663036974533801
1.096420921132463e-09,5.036468127095783,1.096420921132463e-09,0.08182345510423267,1.096420921132463e-09,0.1789539433768335
1.098210460566232e-09,5.040277482033707,1.098210460566232e-09,0.1084506961368171,1.098210460566232e-09,0.08947697168842073
1.1e-09,5.044086694116258,1.1e-09,0.1360124573236041,1.1e-09,0
1.100350909171044e-09,5.045081139484648,1.100350909171044e-09,0.1426652809613767,1.100350909171044e-09,0
1.100731764059431e-09,5.046152560455869,1.100731764059431e-09,0.1498876078246548,1.100731764059431e-09,0
1.101200564580714e-09,5.047456118812891,1.101200564580714e-09,0.1587783989991968,1.101200564580714e-09,0
1.10213816562328e-09,5.05000940784304,1.10213816562328e-09,0.1765600113040192,1.10213816562328e-09,0
1.104013367708413e-09,5.054906138435253,1.104013367708413e-09,0.2121190955422253,1.104013367708413e-09,0
1.107763771878678e-09,5.063924762771272,1.107763771878678e-09,0.2832019871761559,1.107763771878678e-09,0
1.111894348005595e-09,5.072779541082654,1.111894348005595e-09,0.3614011029202566,1.111894348005595e-09,0
1.116007134010742e-09,5.080604682668691,1.116007134010742e-09,0.4391375164964746,1.116007134010742e-09,0
1.120151329156201e-09,5.087617676209221,1.120151329156201e-09,0.5173170876156774,1.120151329156201e-09,0
1.124284785045093e-09,5.093856396828768,1.124284785045093e-09,0.595123192677305,1.124284785045093e-09,0
1.128508510888217e-09,5.099558327272892,1.128508510888217e-09,0.6744167002413024,1.128508510888217e-09,0
1.132843522848214e-09,5.104808420641552,1.132843522848214e-09,0.7554303043366976,1.132843522848214e-09,0
1.137374365588131e-09,5.109794103900737,1.137374365588131e-09,0.838941417766505,1.137374365588131e-09,0
1.142180472125795e-09,5.114671308304586,1.142180472125795e-09,0.9241843338183535,1.142180472125795e-09,0
1.146807164044991e-09,5.118441629503902,1.146807164044991e-09,1.002963188027634,1.146807164044991e-09,0
1.152307288906105e-09,5.120578568400563,1.152307288906105e-09,1.094573418281454,1.152307288906105e-09,0
1.157728932625082e-09,5.119632966738202,1.157728932625082e-09,1.183500197150694,1.157728932625082e-09,0
1.164239923697292e-09,5.11430242231602,1.164239923697292e-09,1.288627326184897,1.164239923697292e-09,0
1.17148385644994e-09,5.103121552759911,1.17148385644994e-09,1.403466511919554,1.17148385644994e-09,0
1.179539761472607e-09,5.084553498739901,1.179539761472607e-09,1.528581367006692,1.179539761472607e-09,0
1.188634304274178e-09,5.056383710786651,1.188634304274178e-09,1.666590057193268,1.188634304274178e-09,0
1.19900879639701e-09,5.015637941945052,1.19900879639701e-09,1.8198799604139,1.19900879639701e-09,0
1.211073145888965e-09,4.959362019753569,1.211073145888965e-09,1.993658304290157,1.211073145888965e-09,0
1.225433490168182e-09,4.878303061558962,1.225433490168182e-09,2.192837769847194,1.225433490168182e-09,0
1.24302927855951e-09,4.755325590582642,1.24302927855951e-09,2.423732752896072,1.24302927855951e-09,0
1.265430992748591e-09,4.552011917830908,1.265430992748591e-09,2.695580192681038,1.265430992748591e-09,0
1.278847214792379e-09,4.393227283709849,1.278847214792379e-09,2.848729418994241,1.278847214792379e-09,0
1.292994521777816e-09,4.172400419277561,1.292994521777816e-09,3.006237521336768,1.292994521777816e-09,0
1.304460803941653e-09,3.947862563072798,1.304460803941653e-09,3.125913760904729,1.304460803941653e-09,0
1.31749921576217e-09,3.644115168112637,1.31749921576217e-09,3.249862457953581,1.31749921576217e-09,0
1.33370604262724e-09,3.198503249913961,1.33370604262724e-09,3.386482987556089,1.33370604262724e-09,0
1.355214069549877e-09,2.50683291170218,1.355214069549877e-09,3.541195148333718,1.355214069549877e-09,0
1.372439981586853e-09,1.890665451375629,1.372439981586853e-09,3.646466064941826,1.372439981586853e-09,0
1.381277421044909e-09,1.567838842206564,1.381277421044909e-09,3.69515310728536,1.381277421044909e-09,0
1.390881674754598e-09,1.245495650939462,1.390881674754598e-09,3.743549848520681,1.390881674754598e-09,0
1.397888789046279e-09,1.041391511896221,1.397888789046279e-09,3.775959219883354,1.397888789046279e-09,0
1.404977453851432e-09,0.8633113917168631,1.404977453851432e-09,3.808554851829122,1.404977453851432e-09,0
1.416049008876776e-09,0.6389098429792074,1.416049008876776e-09,3.861965010756508,1.416049008876776e-09,0
1.430212065812843e-09,0.4313703539889528,1.430212065812843e-09,3.935558775580978,1.430212065812843e-09,0
1.441469098627291e-09,0.3165303425838448,1.441469098627291e-09,3.997197298685063,1.441469098627291e-09,0
1.452098050385852e-09,0.2382115144939622,1.452098050385852e-09,4.056420963130668,1.452098050385852e-09,0
1.463146878945703e-09,0.1790978496277822,1.463146878945703e-09,4.117618008052957,1.463146878945703e-09,0
1.474904271620601e-09,0.1339364300790217,1.474904271620601e-09,4.181226405008005,1.474904271620601e-09,0
1.488013346927506e-09,0.09864521813156875,1.488013346927506e-09,4.249707986330547,1.488013346927506e-09,0
1.502958075712943e-09,0.07140713193252411,1.502958075712943e-09,4.325224880956887,1.502958075712943e-09,0
1.519951336548107e-09,0.05104669826596574,1.519951336548107e-09,4.408250541690696,1.519951336548107e-09,0
1.539413401813007e-09,0.03653396546306218,1.539413401813007e-09,4.495353363810288,1.539413401813007e-09,0
1.563239442533949e-09,0.02615023935720754,1.563239442533949e-09,4.586886349142592,1.563239442533949e-09,0
1.581095467635929e-09,0.02146177527292189,1.581095467635929e-09,4.644997049632093,1.581095467635929e-09,0
1.612410025873669e-09,0.0158446892763013,1.612410025873669e-09,4.728616713149643,1.612410025873669e-09,0
1.635138606121305e-09,0.0129791521594677,1.635138606121305e-09,4.776843734146837,1.635138606121305e-09,0
1.673708436884327e-09,0.009283792961595962,1.673708436884327e-09,4.84040506921387,1.673708436884327e-09,0
1.704593672826361e-09,0.007095812528350753,1.704593672826361e-09,4.878105213840803,1.704593672826361e-09,0
1.73402148217515e-09,0.005489758681135282,1.73402148217515e-09,4.905660942452597,1.73402148217515e-09,0
1.76813505742527e-09,0.004068377051236702,1.76813505742527e-09,4.929956174870084,1.76813505742527e-09,0
1.806391994177759e-09,0.002898300646258746,1.806391994177759e-09,4.949953711098455,1.806391994177759e-09,0
1.84927530091557e-09,0.001974167983924337,1.84927530091557e-09,4.965801360135234,1.84927530091557e-09,0
1.899052901688185e-09,0.001255440287364156,1.899052901688185e-09,4.978188093470245,1.899052901688185e-09,0
1.958162964562769e-09,0.0007220674105337705,1.958162964562769e-09,4.98742597672953,1.958162964562769e-09,0
2.030044462178291e-09,0.0003541448130472063,2.030044462178291e-09,4.993823583608305,2.030044462178291e-09,0
2.12056153517176e-09,0.0001266139316411717,2.12056153517176e-09,4.997790399876632,2.12056153517176e-09,0
2.240085272785959e-09,1.080741891781021e-05,2.240085272785959e-09,4.9998122822576,2.240085272785959e-09,0
2.394383887177961e-09,-2.353791890775082e-05,2.394383887177961e-09,5.000411985815401,2.394383887177961e-09,0
2.60055340672235e-09,-1.899871174623882e-05,2.60055340672235e-09,5.000330503921461,2.60055340672235e-09,0
2.85055340672235e-09,-7.116478155915352e-06,2.85055340672235e-09,5.000123435519548,2.85055340672235e-09,0
3.10055340672235e-09,-1.276449525973702e-06,3.10055340672235e-09,5.000022279672883,3.10055340672235e-09,0
3.35055340672235e-09,2.878120164602809e-07,3.35055340672235e-09,4.999995275649733,3.35055340672235e-09,0
3.600553406722351e-09,3.44506297314844e-07,3.600553406722351e-09,4.999994294940127,3.600553406722351e-09,0
3.85055340672235e-09,1.612765504229317e-07,3.85055340672235e-09,4.999997466544849,3.85055340672235e-09,0
4.10055340672235e-09,5.197146903828212e-08,4.10055340672235e-09,4.999999371187998,4.10055340672235e-09,0
4.35055340672235e-09,1.642772640413924e-08,4.35055340672235e-09,4.999999990931537,4.35055340672235e-09,0
