O X,O Y,net8 X,net8 Y,net3 X,net3 Y
0,4.999999981632027,0,6.718109964477771e-08,0,5
2.5e-11,4.999999981631999,2.5e-11,6.71810968695514e-08,2.5e-11,5
7.5e-11,4.999999981631976,7.5e-11,6.718109652563248e-08,7.5e-11,5
1.75e-10,4.999999981631961,1.75e-10,6.718109674568055e-08,1.75e-10,5
3.749999999999999e-10,4.99999998163196,3.749999999999999e-10,6.718109909573517e-08,3.749999999999999e-10,5
6.25e-10,4.999999981631961,6.25e-10,6.718109959915711e-08,6.25e-10,5
8.125e-10,4.999999981631961,8.125e-10,6.718110006401535e-08,8.125e-10,5
1e-09,4.999999981631961,1e-09,6.718109970824373e-08,1e-09,5
1.00029878390565e-09,4.999924026862466,1.00029878390565e-09,-0.0003579827532335868,1.00029878390565e-09,4.985060804717493
1.000527390044771e-09,4.999865299231564,1.000527390044771e-09,-0.0006361115963143373,1.000527390044771e-09,4.973630497761455
1.000984602323012e-09,4.999745564228514,1.000984602323012e-09,-0.001208314444020308,1.000984602323012e-09,4.95076988384938
1.001479346149959e-09,4.999612632818483,1.001479346149959e-09,-0.001851810005657447,1.001479346149959e-09,4.926032692502058
1.002468833803852e-09,4.99933756929278,1.002468833803852e-09,-0.003210069468060418,1.002468833803852e-09,4.876558309807414
1.003799421062375e-09,4.998952169037258,1.003799421062375e-09,-0.005170916736175975,1.003799421062375e-09,4.810028946881241
1.005100282178391e-09,4.998562555930041,1.005100282178391e-09,-0.007218714626274917,1.005100282178391e-09,4.744985891080449
1.006493245991154e-09,4.998136240089512,1.006493245991154e-09,-0.009533810498918764,1.006493245991154e-09,4.675337700442279
1.008005094689982e-09,4.997668066046582,1.008005094689982e-09,-0.01216692085073969,1.008005094689982e-09,4.599745265500887
1.009638528756298e-09,4.997160370925344,1.009638528756298e-09,-0.01513239637065588,1.009638528756298e-09,4.518073562185089
1.011417337666066e-09,4.996602517676513,1.011417337666066e-09,-0.01851839676268002,1.011417337666066e-09,4.429133116696702
1.01253235793231e-09,4.99623298702246,1.01253235793231e-09,-0.02080685631428739,1.01253235793231e-09,4.37338210338448
1.013660960112954e-09,4.995810828797666,1.013660960112954e-09,-0.02341150535047986,1.013660960112954e-09,4.316951994352297
1.014566692905339e-09,4.995423398816752,1.014566692905339e-09,-0.02578078600347345,1.014566692905339e-09,4.271665354733032
1.015538083395701e-09,4.994976916901156,1.015538083395701e-09,-0.02852293643484326,1.015538083395701e-09,4.223095830214931
1.016538022002368e-09,4.994514016739265,1.016538022002368e-09,-0.03142431811988738,1.016538022002368e-09,4.173098899881611
1.01737629820763e-09,4.994138748485035,1.01737629820763e-09,-0.03384585502481217,1.01737629820763e-09,4.131185089618513
1.0183130306309e-09,4.993741714998203,1.0183130306309e-09,-0.03649836670383818,1.0183130306309e-09,4.084348468455024
1.019542287752713e-09,4.993263390181353,1.019542287752713e-09,-0.03985536271654168,1.019542287752713e-09,4.022885612364339
1.021137089385487e-09,4.992721525031674,1.021137089385487e-09,-0.04395703908792632,1.021137089385487e-09,3.943145530725642
1.023139478048278e-09,4.992172553094361,1.023139478048278e-09,-0.04864593716475744,1.023139478048278e-09,3.843026097586088
1.025551447567787e-09,4.991709164695768,1.025551447567787e-09,-0.05353957977640663,1.025551447567787e-09,3.722427621610655
1.028306955132121e-09,4.991444624662893,1.028306955132121e-09,-0.05803177001675607,1.028306955132121e-09,3.584652243393978
1.031355961618809e-09,4.991475780066406,1.031355961618809e-09,-0.06153713267608645,1.031355961618809e-09,3.432201919059572
1.034702563665439e-09,4.99188882707488,1.034702563665439e-09,-0.06350729267619314,1.034702563665439e-09,3.264871816728048
1.038364658278863e-09,4.99277280716255,1.038364658278863e-09,-0.06330602260139317,1.038364658278863e-09,3.081767086056876
1.042369239749762e-09,4.994222665270697,1.042369239749762e-09,-0.06016247644253664,1.042369239749762e-09,2.88153801251189
1.046779014797691e-09,4.996356431885143,1.046779014797691e-09,-0.05306491002866308,1.046779014797691e-09,2.661049260115469
1.051645645590049e-09,4.999302869207614,1.051645645590049e-09,-0.04070641263764063,1.051645645590049e-09,2.417717720497536
1.057025093860501e-09,5.003359394027957,1.057025093860501e-09,-0.02138211781386137,1.057025093860501e-09,2.148745306974933
1.062395047966118e-09,5.008038774785523,1.062395047966118e-09,0.003856793036347843,1.062395047966118e-09,1.880247601694102
1.06926959728996e-09,5.014744201644548,1.06926959728996e-09,0.04484335781963102,1.06926959728996e-09,1.536520135501998
1.076231612895684e-09,5.022216301027129,1.076231612895684e-09,0.09627218196394531,1.076231612895684e-09,1.188419355215786
1.079469970624621e-09,5.025904316398849,1.079469970624621e-09,0.1236134155559926,1.079469970624621e-09,1.026501468768969
1.081826006450611e-09,5.028666443997849,1.081826006450611e-09,0.1448865395205186,1.081826006450611e-09,0.9086996774694747
1.083175874146119e-09,5.030279749403659,1.083175874146119e-09,0.1576118759948714,1.083175874146119e-09,0.8412062926940358
1.084635324376551e-09,5.032054743790969,1.084635324376551e-09,0.1718428375751669,1.084635324376551e-09,0.7682337811724782
1.085658436141034e-09,5.033323251556492,1.085658436141034e-09,0.1821382826064686,1.085658436141034e-09,0.7170781929483061
1.08651346252722e-09,5.034401989172221,1.08651346252722e-09,0.1909612752086206,1.08651346252722e-09,0.674326873639008
1.087574676137855e-09,5.035767196753024,1.087574676137855e-09,0.2022048335997105,1.087574676137855e-09,0.6212661931072319
1.088428213921837e-09,5.036886886473686,1.088428213921837e-09,0.2114878606442433,1.088428213921837e-09,0.5785893039081733
1.089407285784038e-09,5.038194813460555,1.089407285784038e-09,0.2224013473009891,1.089407285784038e-09,0.5296357107981011
1.090893313563764e-09,5.040226499592283,1.090893313563764e-09,0.2395069540395763,1.090893313563764e-09,0.455334321811816
1.093462038898316e-09,5.043862858185707,1.093462038898316e-09,0.2706059609143643,1.093462038898316e-09,0.3268980550842011
1.096731019449158e-09,5.048700631854626,1.096731019449158e-09,0.3129642275192974,1.096731019449158e-09,0.1634490275420992
1.1e-09,5.053756789064154,1.1e-09,0.3584255216053051,1.1e-09,0
1.100618202663725e-09,5.055036801822641,1.100618202663725e-09,0.3687805817874887,1.100618202663725e-09,0
1.101208333337371e-09,5.056239639005198,1.101208333337371e-09,0.3786425331155848,1.101208333337371e-09,0
1.101941773051667e-09,5.057699304697854,1.101941773051667e-09,0.3908547833385776,1.101941773051667e-09,0
1.103408652480259e-09,5.060497343969822,1.103408652480259e-09,0.4151270719515296,1.103408652480259e-09,0
1.106342411337443e-09,5.065648319069585,1.106342411337443e-09,0.4631344331117559,1.106342411337443e-09,0
1.109372029118428e-09,5.070414327586072,1.109372029118428e-09,0.5120751245405671,1.109372029118428e-09,0
1.112552386674939e-09,5.07489605675869,1.112552386674939e-09,0.5628927476352349,1.112552386674939e-09,0
1.116143602141812e-09,5.079415422046234,1.116143602141812e-09,0.6197471796594193,1.116143602141812e-09,0
1.12018123432471e-09,5.083928510883617,1.12018123432471e-09,0.6831677987267045,1.12018123432471e-09,0
1.124785517225347e-09,5.088490508853568,1.124785517225347e-09,0.7549787522565188,1.124785517225347e-09,0
1.130081004579709e-09,5.093223249712685,1.130081004579709e-09,0.8367534564384602,1.130081004579709e-09,0
1.136125783067021e-09,5.098328565849648,1.136125783067021e-09,0.9280779509207903,1.136125783067021e-09,0
1.142753076417926e-09,5.102606810194128,1.142753076417926e-09,1.026025305704116,1.142753076417926e-09,0
1.150079491836196e-09,5.10370320553991,1.150079491836196e-09,1.133447099769625,1.150079491836196e-09,0
1.157852565396001e-09,5.099791607754943,1.157852565396001e-09,1.246930550382995,1.157852565396001e-09,0
1.170288989718242e-09,5.082464091220725,1.170288989718242e-09,1.427297106453235,1.170288989718242e-09,0
1.188275974180776e-09,5.034782466811224,1.188275974180776e-09,1.684809221755941,1.188275974180776e-09,0
1.210460578136607e-09,4.94389734469403,1.210460578136607e-09,1.995993427299493,1.210460578136607e-09,0
1.234932639650458e-09,4.800817501618578,1.234932639650458e-09,2.32735745579308,1.234932639650458e-09,0
1.258615293409176e-09,4.607420698284595,1.258615293409176e-09,2.631906638872171,1.258615293409176e-09,0
1.273887909192755e-09,4.440415793522208,1.273887909192755e-09,2.820053052899181,1.273887909192755e-09,0
1.289503991961175e-09,4.204817873085876,1.289503991961175e-09,3.009008401666464,1.289503991961175e-09,0
1.301021787222288e-09,3.978432110179736,1.301021787222288e-09,3.144193359473516,1.301021787222288e-09,0
1.313319894224509e-09,3.687119916575825,1.313319894224509e-09,3.281649940161006,1.313319894224509e-09,0
1.329873820996459e-09,3.214161296247826,1.329873820996459e-09,3.453888518134121,1.329873820996459e-09,0
1.340041856317867e-09,2.879226341333185,1.340041856317867e-09,3.551931184595177,1.340041856317867e-09,0
1.360234827800126e-09,2.130794803610134,1.360234827800126e-09,3.728443789771424,1.360234827800126e-09,0
1.368812080031721e-09,1.788471793924362,1.368812080031721e-09,3.796358120250202,1.368812080031721e-09,0
