/net3 X,/net3 Y,/net8 X,/net8 Y,/O X,/O Y
0,5,0,2.892568355444196e-08,0,4.999999981632027
1e-11,5,1e-11,2.892568251421024e-08,1e-11,4.999999981632012
3e-11,5,3e-11,2.892568053689816e-08,3e-11,4.999999981631993
6.999999999999999e-11,5,6.999999999999999e-11,2.892568113634548e-08,6.999999999999999e-11,4.999999981631971
1.5e-10,5,1.5e-10,2.892568386785724e-08,1.5e-10,4.999999981631959
2.5e-10,5,2.5e-10,2.892568512518487e-08,2.5e-10,4.99999998163196
3.5e-10,5,3.5e-10,2.89256840624659e-08,3.5e-10,4.999999981631961
4.5e-10,5,4.5e-10,2.892568368989921e-08,4.5e-10,4.999999981631962
5.5e-10,5,5.5e-10,2.892568341253575e-08,5.5e-10,4.999999981631962
6.499999999999999e-10,5,6.499999999999999e-10,2.892568272739945e-08,6.499999999999999e-10,4.999999981631962
7.499999999999999e-10,5,7.499999999999999e-10,2.892568314873588e-08,7.499999999999999e-10,4.999999981631962
8.499999999999999e-10,5,8.499999999999999e-10,2.892568339064448e-08,8.499999999999999e-10,4.999999981631962
9.25e-10,5,9.25e-10,2.892568384305534e-08,9.25e-10,4.999999981631962
1e-09,5,1e-09,2.892568323604855e-08,1e-09,4.999999981631962
1.000222119372447e-09,4.988894031377641,1.000222119372447e-09,-0.001787295900862096,1.000222119372447e-09,4.999619946185931
1.000392635204682e-09,4.98036823976592,1.000392635204682e-09,-0.003158846084836507,1.000392635204682e-09,4.999329335414526
1.00073366686915e-09,4.96331665654248,1.00073366686915e-09,-0.005900419549195666,1.00073366686915e-09,4.998752482789026
1.001210202546809e-09,4.939489872659552,1.001210202546809e-09,-0.009726963890831894,1.001210202546809e-09,4.997956868216693
1.002163273902126e-09,4.891836304893694,1.002163273902126e-09,-0.0173584283257134,1.002163273902126e-09,4.996403405085755
1.003578490338998e-09,4.821075483050119,1.003578490338998e-09,-0.02861595236594088,1.003578490338998e-09,4.994191696794708
1.005044996737271e-09,4.747750163136459,1.005044996737271e-09,-0.04015944448450139,1.005044996737271e-09,4.992021670100222
1.006666357027755e-09,4.666682148612269,1.006666357027755e-09,-0.05274248563193541,1.006666357027755e-09,4.989768325987883
