/net3 X,/net3 Y,/net8 X,/net8 Y,/O X,/O Y
0,5,0,2.892568355444196e-08,0,4.999999981632027
1e-11,5,1e-11,2.892568251421024e-08,1e-11,4.999999981632012
3e-11,5,3e-11,2.892568053689816e-08,3e-11,4.999999981631993
6.999999999999999e-11,5,6.999999999999999e-11,2.892568113634548e-08,6.999999999999999e-11,4.999999981631971
1.5e-10,5,1.5e-10,2.892568386785724e-08,1.5e-10,4.999999981631959
2.5e-10,5,2.5e-10,2.892568512518487e-08,2.5e-10,4.99999998163196
3.5e-10,5,3.5e-10,2.89256840624659e-08,3.5e-10,4.999999981631961
4.5e-10,5,4.5e-10,2.892568368989921e-08,4.5e-10,4.999999981631962
5.5e-10,5,5.5e-10,2.892568341253575e-08,5.5e-10,4.999999981631962
6.499999999999999e-10,5,6.499999999999999e-10,2.892568272739945e-08,6.499999999999999e-10,4.999999981631962
7.499999999999999e-10,5,7.499999999999999e-10,2.892568314873588e-08,7.499999999999999e-10,4.999999981631962
8.499999999999999e-10,5,8.499999999999999e-10,2.892568339064448e-08,8.499999999999999e-10,4.999999981631962
9.25e-10,5,9.25e-10,2.892568384305534e-08,9.25e-10,4.999999981631962
1e-09,5,1e-09,2.892568323604855e-08,1e-09,4.999999981631962
1.000283268430014e-09,4.985836578499315,1.000283268430014e-09,-0.0004473183627642633,1.000283268430014e-09,4.999905039657418
1.000486849127553e-09,4.975657543622347,1.000486849127553e-09,-0.0007761800964435568,1.000486849127553e-09,4.999835530069612
1.000894010522632e-09,4.95529947386841,1.000894010522632e-09,-0.001461346677784187,1.000894010522632e-09,4.999691841030338
1.001296283154631e-09,4.935185842268457,1.001296283154631e-09,-0.002174573359285386,1.001296283154631e-09,4.999543834233802
1.002100828418629e-09,4.89495857906855,1.002100828418629e-09,-0.003701657594993639,1.002100828418629e-09,4.99923183124815
1.003134195706666e-09,4.843290214666704,1.003134195706666e-09,-0.005837749229030418,1.003134195706666e-09,4.998805214626109
1.004137937311274e-09,4.793103134436326,1.004137937311274e-09,-0.008075525526248684,1.004137937311274e-09,4.998368975998376
1.005214386078464e-09,4.739280696076798,1.005214386078464e-09,-0.01062518167691594,1.005214386078464e-09,4.997883945614628
