/net3 X,/net3 Y,/net8 X,/net8 Y,/o2 X,/o2 Y
0,5,0,2.892568355444196e-08,0,4.999999981632027
1e-11,5,1e-11,2.892568170472984e-08,1e-11,4.999999981632012
3e-11,5,3e-11,2.89256801485699e-08,3e-11,4.999999981631993
6.999999999999999e-11,5,6.999999999999999e-11,2.892568132387661e-08,6.999999999999999e-11,4.999999981631971
1.5e-10,5,1.5e-10,2.892568386054357e-08,1.5e-10,4.999999981631959
2.5e-10,5,2.5e-10,2.892568445800428e-08,2.5e-10,4.999999981631959
3.5e-10,5,3.5e-10,2.892568367875482e-08,3.5e-10,4.999999981631961
4.5e-10,5,4.5e-10,2.892568351931319e-08,4.5e-10,4.999999981631962
5.5e-10,5,5.5e-10,2.89256832208573e-08,5.5e-10,4.999999981631962
6.499999999999999e-10,5,6.499999999999999e-10,2.892568311869621e-08,6.499999999999999e-10,4.999999981631962
7.499999999999999e-10,5,7.499999999999999e-10,2.89256831042613e-08,7.499999999999999e-10,4.999999981631962
8.499999999999999e-10,5,8.499999999999999e-10,2.892568294971446e-08,8.499999999999999e-10,4.999999981631962
9.25e-10,5,9.25e-10,2.892568369639165e-08,9.25e-10,4.999999981631962
1e-09,5,1e-09,2.892568356522451e-08,1e-09,4.999999981631962
1.000283108115046e-09,4.985844594247691,1.000283108115046e-09,-0.0003661785886717418,1.000283108115046e-09,4.999922259990469
1.000486496953796e-09,4.975675152310204,1.000486496953796e-09,-0.000635547602373533,1.000486496953796e-09,4.999865324390545
1.000893274631295e-09,4.95533626843523,1.000893274631295e-09,-0.001197756356501685,1.000893274631295e-09,4.999747416860195
1.001292690524045e-09,4.935365473797736,1.001292690524045e-09,-0.001780636674676207,1.001292690524045e-09,4.999626443522033
1.002091522309545e-09,4.895423884522748,1.002091522309545e-09,-0.003032261088431111,1.002091522309545e-09,4.999370635071713
1.003130765364316e-09,4.843461731784182,1.003130765364316e-09,-0.00481390312218321,1.003130765364316e-09,4.999014621147185
1.004135499810967e-09,4.793225009451647,1.004135499810967e-09,-0.00668078193321656,1.004135499810967e-09,4.998650409768137
1.005210302250526e-09,4.739484887473694,1.005210302250526e-09,-0.008811699987350907,1.005210302250526e-09,4.998244564548077
1.006373812852514e-09,4.681309357374289,1.006373812852514e-09,-0.01124901036121397,1.006373812852514e-09,4.997792264090415
1.007629286255923e-09,4.618535687203875,1.007629286255923e-09,-0.01400411974619856,1.007629286255923e-09,4.997295307113552
