/net1 X,/net1 Y,/net09 X,/net09 Y,/o1 X,/o1 Y
0,0,0,4.999999990889179,0,1.704906616105221e-08
1e-11,0,1e-11,4.999999990889179,1e-11,1.704906624656212e-08
3e-11,0,3e-11,4.999999990889176,3e-11,1.704906576231147e-08
6.999999999999999e-11,0,6.999999999999999e-11,4.999999990889173,6.999999999999999e-11,1.704906627494939e-08
1.5e-10,0,1.5e-10,4.999999990889171,1.5e-10,1.70490665883542e-08
2.5e-10,0,2.5e-10,4.999999990889173,2.5e-10,1.704906651199547e-08
3.5e-10,0,3.5e-10,4.999999990889175,3.5e-10,1.704906661705487e-08
4.5e-10,0,4.5e-10,4.999999990889177,4.5e-10,1.704906634047427e-08
5.5e-10,0,5.5e-10,4.999999990889179,5.5e-10,1.704906622724655e-08
6.499999999999999e-10,0,6.499999999999999e-10,4.999999990889179,6.499999999999999e-10,1.704906620764075e-08
7.499999999999999e-10,0,7.499999999999999e-10,4.99999999088918,7.499999999999999e-10,1.704906640123559e-08
8.499999999999999e-10,0,8.499999999999999e-10,4.999999990889181,8.499999999999999e-10,1.704906660578476e-08
9.25e-10,0,9.25e-10,4.999999990889181,9.25e-10,1.70490667447757e-08
1e-09,0,1e-09,4.99999999088918,1e-09,1.704906627766166e-08
1.000042608538347e-09,0.002130426917340556,1.000042608538347e-09,5.000128749642287,1.000042608538347e-09,2.71959519360235e-05
1.000073754935942e-09,0.00368774679708731,1.000073754935942e-09,5.000222857434662,1.000073754935942e-09,4.704357980257316e-05
1.000136047731132e-09,0.006802386556580818,1.000136047731132e-09,5.00041098643148,1.000136047731132e-09,8.665373622719145e-05
1.000260633321511e-09,0.01303166607556783,1.000260633321511e-09,5.000786857189798,1.000260633321511e-09,0.0001655071149474097
1.000509804502271e-09,0.02549022511354186,1.000509804502271e-09,5.001537023682378,1.000509804502271e-09,0.0003217348693361332
1.00100814686379e-09,0.05040734318948992,1.00100814686379e-09,5.003031088352722,1.00100814686379e-09,0.0006283441951275051
1.002004831586828e-09,0.100241579341386,1.002004831586828e-09,5.005994583737354,1.002004831586828e-09,0.001218847915287854
1.003998201032904e-09,0.1999100516451783,1.003998201032904e-09,5.011826587983316,1.003998201032904e-09,0.002314182318085858
1.006824471143908e-09,0.3412235571954056,1.006824471143908e-09,5.019890238506569,1.006824471143908e-09,0.003688156343136788
1.009787702960913e-09,0.489385148045659,1.009787702960913e-09,5.028104721266677,1.009787702960913e-09,0.004926797537880029
1.01288451566714e-09,0.6442257833570204,1.01288451566714e-09,5.036495423153172,1.01288451566714e-09,0.006036565561565882
1.014749442269606e-09,0.7374721134803066,1.014749442269606e-09,5.041692920912821,1.014749442269606e-09,0.006669336984419585
1.016533193616553e-09,0.8266596808276317,1.016533193616553e-09,5.04697409355208,1.016533193616553e-09,0.007294523750608813
1.018315752573889e-09,0.9157876286944288,1.018315752573889e-09,5.052217131384383,1.018315752573889e-09,0.007869885071159726
1.019769202057724e-09,0.988460102886202,1.019769202057724e-09,5.056279527462578,1.019769202057724e-09,0.008266276147007723
1.021311954548631e-09,1.065597727431531,1.021311954548631e-09,5.060314174418001,1.021311954548631e-09,0.008605715646610728
1.023766526430223e-09,1.188326321511146,1.023766526430223e-09,5.066065760294417,1.023766526430223e-09,0.00897055546255791
1.028675670193408e-09,1.433783509670377,1.028675670193408e-09,5.074872237555596,1.028675670193408e-09,0.009089023488818536
1.033016871468608e-09,1.650843573430377,1.033016871468608e-09,5.079513884129756,1.033016871468608e-09,0.008571282472340097
1.036728891502117e-09,1.836444575105857,1.036728891502117e-09,5.081061900255103,1.036728891502117e-09,0.007714148751307143
1.040357180157953e-09,2.017859007897647,1.040357180157953e-09,5.080370585569908,1.040357180157953e-09,0.006551428129496824
1.043926065110053e-09,2.196303255502644,1.043926065110053e-09,5.077536756835957,1.043926065110053e-09,0.005132709750253725
