/net3 X,/net3 Y,/net8 X,/net8 Y,/o4 X,/o4 Y
0,5,0,1.413849256083952e-08,0,4.999999981632027
1e-11,5,1e-11,1.413848926691339e-08,1e-11,4.999999981632011
3e-11,5,3e-11,1.413848516008393e-08,3e-11,4.999999981631992
6.999999999999999e-11,5,6.999999999999999e-11,1.413848309201046e-08,6.999999999999999e-11,4.99999998163197
1.5e-10,5,1.5e-10,1.413848760556708e-08,1.5e-10,4.999999981631959
2.5e-10,5,2.5e-10,1.413849081562608e-08,2.5e-10,4.999999981631959
3.5e-10,5,3.5e-10,1.413849160944237e-08,3.5e-10,4.999999981631961
4.5e-10,5,4.5e-10,1.413849149904275e-08,4.5e-10,4.999999981631962
5.5e-10,5,5.5e-10,1.413849156406335e-08,5.5e-10,4.999999981631962
6.499999999999999e-10,5,6.499999999999999e-10,1.413849120647868e-08,6.499999999999999e-10,4.999999981631962
7.499999999999999e-10,5,7.499999999999999e-10,1.413849099740393e-08,7.499999999999999e-10,4.999999981631962
8.499999999999999e-10,5,8.499999999999999e-10,1.413849124652691e-08,8.499999999999999e-10,4.999999981631962
9.25e-10,5,9.25e-10,1.413849182310033e-08,9.25e-10,4.999999981631962
1e-09,5,1e-09,1.413849268291762e-08,1e-09,4.999999981631962
1.000841200116687e-09,4.957939994165671,1.000841200116687e-09,-0.001410617585713415,1.000841200116687e-09,4.999705497472666
1.001532456568056e-09,4.923377171597218,1.001532456568056e-09,-0.00256333039349379,1.001532456568056e-09,4.99946827956402
1.002914969470794e-09,4.854251526460311,1.002914969470794e-09,-0.004843199889840555,1.002914969470794e-09,4.999012509787135
1.004833493751584e-09,4.758325312420826,1.004833493751584e-09,-0.007948888646577584,1.004833493751584e-09,4.998421749794182
1.008670542313163e-09,4.566472884341857,1.008670542313163e-09,-0.01396629491518205,1.008670542313163e-09,4.997374752399031
1.012269196466799e-09,4.386540176660066,1.012269196466799e-09,-0.01938928162424518,1.012269196466799e-09,4.996540257454246
1.014328277037663e-09,4.283586148116859,1.014328277037663e-09,-0.02240137198043087,1.014328277037663e-09,4.996121671206113
1.016352341949405e-09,4.182382902529765,1.016352341949405e-09,-0.02530197046782634,1.016352341949405e-09,4.995747841315941
1.01846446932682e-09,4.076776533658991,1.01846446932682e-09,-0.02826876724127879,1.01846446932682e-09,4.995394036969172
1.020081873847519e-09,3.99590630762407,1.020081873847519e-09,-0.03050117643846258,1.020081873847519e-09,4.995146415321994
1.022000612933234e-09,3.899969353338295,1.022000612933234e-09,-0.03310757480150208,1.022000612933234e-09,4.994876764067913
