/net8 X,/net8 Y,/net10 X,/net10 Y,/net7 X,/net7 Y,/net9 X,/net9 Y,/net3 X,/net3 Y
0,5,0,5,0,5,0,5,0,1.67653861161883e-08
8.079999999999999e-11,5,8.079999999999999e-11,5,8.079999999999999e-11,5,8.079999999999999e-11,5,8.079999999999999e-11,1.676538068669405e-08
2.424e-10,5,2.424e-10,5,2.424e-10,5,2.424e-10,5,2.424e-10,1.676538199644184e-08
5.656e-10,5,5.656e-10,5,5.656e-10,5,5.656e-10,5,5.656e-10,1.676538467717804e-08
1e-09,5,1e-09,5,1e-09,5,1e-09,5,1e-09,1.67653866241233e-08
1.000084945590278e-09,4.995752720486109,1.000084945590278e-09,4.995752720486109,1.000084945590278e-09,4.995752720486109,1.000084945590278e-09,4.995752720486109,1.000084945590278e-09,-0.0005086001221728814
1.000148217691355e-09,4.992589115432249,1.000148217691355e-09,4.992589115432249,1.000148217691355e-09,4.992589115432249,1.000148217691355e-09,4.992589115432249,1.000148217691355e-09,-0.000888356799201252
1.000274761893509e-09,4.986261905324529,1.000274761893509e-09,4.986261905324529,1.000274761893509e-09,4.986261905324529,1.000274761893509e-09,4.986261905324529,1.000274761893509e-09,-0.001651348588537999
1.00043448926051e-09,4.978275536974502,1.00043448926051e-09,4.978275536974502,1.00043448926051e-09,4.978275536974502,1.00043448926051e-09,4.978275536974502,1.00043448926051e-09,-0.002621266997553369
1.000753943994511e-09,4.96230280027445,1.000753943994511e-09,4.96230280027445,1.000753943994511e-09,4.96230280027445,1.000753943994511e-09,4.96230280027445,1.000753943994511e-09,-0.004583306177947911
1.001392853462513e-09,4.930357326874343,1.001392853462513e-09,4.930357326874343,1.001392853462513e-09,4.930357326874343,1.001392853462513e-09,4.930357326874343,1.001392853462513e-09,-0.008588363672606882
1.002002761159452e-09,4.899861942027384,1.002002761159452e-09,4.899861942027384,1.002002761159452e-09,4.899861942027384,1.002002761159452e-09,4.899861942027384,1.002002761159452e-09,-0.01250171457995574
1.002651711002703e-09,4.867414449864834,1.002651711002703e-09,4.867414449864834,1.002651711002703e-09,4.867414449864834,1.002651711002703e-09,4.867414449864834,1.002651711002703e-09,-0.01674917746220375
1.003370126694376e-09,4.831493665281206,1.003370126694376e-09,4.831493665281206,1.003370126694376e-09,4.831493665281206,1.003370126694376e-09,4.831493665281206,1.003370126694376e-09,-0.02153636337972878
1.004141939908168e-09,4.792903004591581,1.004141939908168e-09,4.792903004591581,1.004141939908168e-09,4.792903004591581,1.004141939908168e-09,4.792903004591581,1.004141939908168e-09,-0.02676185863821558
1.004953856366814e-09,4.752307181659301,1.004953856366814e-09,4.752307181659301,1.004953856366814e-09,4.752307181659301,1.004953856366814e-09,4.752307181659301,1.004953856366814e-09,-0.03233338031860246
1.005831684845284e-09,4.708415757735827,1.005831684845284e-09,4.708415757735827,1.005831684845284e-09,4.708415757735827,1.005831684845284e-09,4.708415757735827,1.005831684845284e-09,-0.03842416817593724
1.006792665212663e-09,4.660366739366846,1.006792665212663e-09,4.660366739366846,1.006792665212663e-09,4.660366739366846,1.006792665212663e-09,4.660366739366846,1.006792665212663e-09,-0.04515087162766152
1.007844502274172e-09,4.607774886291388,1.007844502274172e-09,4.607774886291388,1.007844502274172e-09,4.607774886291388,1.007844502274172e-09,4.607774886291388,1.007844502274172e-09,-0.05256131789681436
1.00899643066188e-09,4.550178466906019,1.00899643066188e-09,4.550178466906019,1.00899643066188e-09,4.550178466906019,1.00899643066188e-09,4.550178466906019,1.00899643066188e-09,-0.06070918119694094
1.010258713251202e-09,4.487064337439904,1.010258713251202e-09,4.487064337439904,1.010258713251202e-09,4.487064337439904,1.010258713251202e-09,4.487064337439904,1.010258713251202e-09,-0.06965079482685943
1.011643847057563e-09,4.417807647121839,1.011643847057563e-09,4.417807647121839,1.011643847057563e-09,4.417807647121839,1.011643847057563e-09,4.417807647121839,1.011643847057563e-09,-0.07945259620583292
1.013167120620201e-09,4.341643968989957,1.013167120620201e-09,4.341643968989957,1.013167120620201e-09,4.341643968989957,1.013167120620201e-09,4.341643968989957,1.013167120620201e-09,-0.0901934444178097
1.014847401805827e-09,4.257629909708676,1.014847401805827e-09,4.257629909708676,1.014847401805827e-09,4.257629909708676,1.014847401805827e-09,4.257629909708676,1.014847401805827e-09,-0.1019693612576813
1.016708240187553e-09,4.164587990622343,1.016708240187553e-09,4.164587990622343,1.016708240187553e-09,4.164587990622343,1.016708240187553e-09,4.164587990622343,1.016708240187553e-09,-0.1149003758854431
1.018778656802423e-09,4.061067159878863,1.018778656802423e-09,4.061067159878863,1.018778656802423e-09,4.061067159878863,1.018778656802423e-09,4.061067159878863,1.018778656802423e-09,-0.1291252931622799
1.021093992051403e-09,3.945300397429834,1.021093992051403e-09,3.945300397429834,1.021093992051403e-09,3.945300397429834,1.021093992051403e-09,3.945300397429834,1.021093992051403e-09,-0.1448027799877037
1.023500960601007e-09,3.82495196994965,1.023500960601007e-09,3.82495196994965,1.023500960601007e-09,3.82495196994965,1.023500960601007e-09,3.82495196994965,1.023500960601007e-09,-0.1608279155958851
1.026431775241773e-09,3.678411237911374,1.026431775241773e-09,3.678411237911374,1.026431775241773e-09,3.678411237911374,1.026431775241773e-09,3.678411237911374,1.026431775241773e-09,-0.1799577198361917
1.029797462528966e-09,3.510126873551728,1.029797462528966e-09,3.510126873551728,1.029797462528966e-09,3.510126873551728,1.029797462528966e-09,3.510126873551728,1.029797462528966e-09,-0.2014137938612506
1.033663209114317e-09,3.316839544284143,1.033663209114317e-09,3.316839544284143,1.033663209114317e-09,3.316839544284143,1.033663209114317e-09,3.316839544284143,1.033663209114317e-09,-0.2254103909148235
1.038120605538873e-09,3.093969723056341,1.038120605538873e-09,3.093969723056341,1.038120605538873e-09,3.093969723056341,1.038120605538873e-09,3.093969723056341,1.038120605538873e-09,-0.252282316074059
1.043214322979403e-09,2.839283851029832,1.043214322979403e-09,2.839283851029832,1.043214322979403e-09,2.839283851029832,1.043214322979403e-09,2.839283851029832,1.043214322979403e-09,-0.2820547728177205
1.048912344606422e-09,2.554382769678886,1.048912344606422e-09,2.554382769678886,1.048912344606422e-09,2.554382769678886,1.048912344606422e-09,2.554382769678886,1.048912344606422e-09,-0.314347953156662
1.055025327625678e-09,2.248733618716091,1.055025327625678e-09,2.248733618716091,1.055025327625678e-09,2.248733618716091,1.055025327625678e-09,2.248733618716091,1.055025327625678e-09,-0.3480340401216273
1.061273520152606e-09,1.936323992369709,1.061273520152606e-09,1.936323992369709,1.061273520152606e-09,1.936323992369709,1.061273520152606e-09,1.936323992369709,1.061273520152606e-09,-0.3816963187610756
1.067443999998109e-09,1.627800000094549,1.067443999998109e-09,1.627800000094549,1.067443999998109e-09,1.627800000094549,1.067443999998109e-09,1.627800000094549,1.067443999998109e-09,-0.4144141979740886
1.073595183359731e-09,1.320240832013469,1.073595183359731e-09,1.320240832013469,1.073595183359731e-09,1.320240832013469,1.073595183359731e-09,1.320240832013469,1.073595183359731e-09,-0.4472518369697771
1.07567597464111e-09,1.216201267944513,1.07567597464111e-09,1.216201267944513,1.07567597464111e-09,1.216201267944513,1.07567597464111e-09,1.216201267944513,1.07567597464111e-09,-0.4616006479149302
1.077518609732007e-09,1.124069513399676,1.077518609732007e-09,1.124069513399676,1.077518609732007e-09,1.124069513399676,1.077518609732007e-09,1.124069513399676,1.077518609732007e-09,-0.4745243405674563
1.079664513526116e-09,1.01677432369421,1.079664513526116e-09,1.01677432369421,1.079664513526116e-09,1.01677432369421,1.079664513526116e-09,1.01677432369421,1.079664513526116e-09,-0.488741035688593
1.081726217188601e-09,0.9136891405699674,1.081726217188601e-09,0.9136891405699674,1.081726217188601e-09,0.9136891405699674,1.081726217188601e-09,0.9136891405699674,1.081726217188601e-09,-0.501242926502063
1.084395375893503e-09,0.780231205324843,1.084395375893503e-09,0.780231205324843,1.084395375893503e-09,0.780231205324843,1.084395375893503e-09,0.780231205324843,1.084395375893503e-09,-0.5152831799985251
1.086648679408403e-09,0.6675660295798338,1.086648679408403e-09,0.6675660295798338,1.086648679408403e-09,0.6675660295798338,1.086648679408403e-09,0.6675660295798338,1.086648679408403e-09,-0.5249568317201403
1.088782969305391e-09,0.5608515347304619,1.088782969305391e-09,0.5608515347304619,1.088782969305391e-09,0.5608515347304619,1.088782969305391e-09,0.5608515347304619,1.088782969305391e-09,-0.5320730201873565
1.091372681076628e-09,0.4313659461686259,1.091372681076628e-09,0.4313659461686259,1.091372681076628e-09,0.4313659461686259,1.091372681076628e-09,0.4313659461686259,1.091372681076628e-09,-0.5378420177907168
1.095437582902102e-09,0.2281208548949007,1.095437582902102e-09,0.2281208548949007,1.095437582902102e-09,0.2281208548949007,1.095437582902102e-09,0.2281208548949007,1.095437582902102e-09,-0.5399949310255749
1.097718791451051e-09,0.1140604274474547,1.097718791451051e-09,0.1140604274474547,1.097718791451051e-09,0.1140604274474547,1.097718791451051e-09,0.1140604274474547,1.097718791451051e-09,-0.5361734109281191
1.098859395725525e-09,0.05703021372373032,1.098859395725525e-09,0.05703021372373032,1.098859395725525e-09,0.05703021372373032,1.098859395725525e-09,0.05703021372373032,1.098859395725525e-09,-0.5327598174405902
1.1e-09,1.110223024625157e-16,1.1e-09,1.110223024625157e-16,1.1e-09,1.110223024625157e-16,1.1e-09,1.110223024625157e-16,1.1e-09,-0.5286221975452721
1.100464679642948e-09,4.163336342344337e-17,1.100464679642948e-09,4.163336342344337e-17,1.100464679642948e-09,4.163336342344337e-17,1.100464679642948e-09,4.163336342344337e-17,1.100464679642948e-09,-0.524754178737517
1.100908979436292e-09,1.43982048506075e-16,1.100908979436292e-09,1.43982048506075e-16,1.100908979436292e-09,1.43982048506075e-16,1.100908979436292e-09,1.43982048506075e-16,1.100908979436292e-09,-0.5210270007044111
1.101388908593204e-09,4.39817695831719e-16,1.101388908593204e-09,4.39817695831719e-16,1.101388908593204e-09,4.39817695831719e-16,1.101388908593204e-09,4.39817695831719e-16,1.101388908593204e-09,-0.5169591547073163
1.102348766907029e-09,-1.67601885436338e-16,1.102348766907029e-09,-1.67601885436338e-16,1.102348766907029e-09,-1.67601885436338e-16,1.102348766907029e-09,-1.67601885436338e-16,1.102348766907029e-09,-0.508675524463608
1.103831457498271e-09,1.927633853841537e-16,1.103831457498271e-09,1.927633853841537e-16,1.103831457498271e-09,1.927633853841537e-16,1.103831457498271e-09,1.927633853841537e-16,1.103831457498271e-09,-0.4954664136052117
1.105339991485332e-09,4.011355162603982e-16,1.105339991485332e-09,4.011355162603982e-16,1.105339991485332e-09,4.011355162603982e-16,1.105339991485332e-09,4.011355162603982e-16,1.105339991485332e-09,-0.4814933839983159
