/net7 X,/net7 Y,/net9 X,/net9 Y,/net10 X,/net10 Y,/net8 X,/net8 Y,/net3 X,/net3 Y
0,5,0,5,0,5,0,5,0,1.67653861161883e-08
8.079999999999999e-11,5,8.079999999999999e-11,5,8.079999999999999e-11,5,8.079999999999999e-11,5,8.079999999999999e-11,1.676538076913974e-08
2.424e-10,5,2.424e-10,5,2.424e-10,5,2.424e-10,5,2.424e-10,1.676538274336896e-08
5.656e-10,5,5.656e-10,5,5.656e-10,5,5.656e-10,5,5.656e-10,1.676538464692844e-08
1e-09,5,1e-09,5,1e-09,5,1e-09,5,1e-09,1.676538669074522e-08
1.000133383400912e-09,4.993330829954401,1.000133383400912e-09,4.993330829954401,1.000133383400912e-09,4.993330829954401,1.000133383400912e-09,4.993330829954401,1.000133383400912e-09,-0.0007151013410196606
1.000229683254435e-09,4.988515837278244,1.000229683254435e-09,4.988515837278244,1.000229683254435e-09,4.988515837278244,1.000229683254435e-09,4.988515837278244,1.000229683254435e-09,-0.001232720762875864
1.000422282961482e-09,4.978885851925928,1.000422282961482e-09,4.978885851925928,1.000422282961482e-09,4.978885851925928,1.000422282961482e-09,4.978885851925928,1.000422282961482e-09,-0.002272987740543791
1.000676592999693e-09,4.966170350015335,1.000676592999693e-09,4.966170350015335,1.000676592999693e-09,4.966170350015335,1.000676592999693e-09,4.966170350015335,1.000676592999693e-09,-0.003657188913416576
1.001185213076117e-09,4.940739346194149,1.001185213076117e-09,4.940739346194149,1.001185213076117e-09,4.940739346194149,1.001185213076117e-09,4.940739346194149,1.001185213076117e-09,-0.006460512477305831
1.002198603570804e-09,4.890069821459784,1.002198603570804e-09,4.890069821459784,1.002198603570804e-09,4.890069821459784,1.002198603570804e-09,4.890069821459784,1.002198603570804e-09,-0.01217100691963545
1.003169260050675e-09,4.841536997466258,1.003169260050675e-09,4.841536997466258,1.003169260050675e-09,4.841536997466258,1.003169260050675e-09,4.841536997466258,1.003169260050675e-09,-0.01777821157323183
1.00421273650422e-09,4.789363174789005,1.00421273650422e-09,4.789363174789005,1.00421273650422e-09,4.789363174789005,1.00421273650422e-09,4.789363174789005,1.00421273650422e-09,-0.02393279440635535
1.005378101706017e-09,4.731094914699169,1.005378101706017e-09,4.731094914699169,1.005378101706017e-09,4.731094914699169,1.005378101706017e-09,4.731094914699169,1.005378101706017e-09,-0.03093320129194712
1.006595661612087e-09,4.670216919395672,1.006595661612087e-09,4.670216919395672,1.006595661612087e-09,4.670216919395672,1.006595661612087e-09,4.670216919395672,1.006595661612087e-09,-0.03836080827186414
1.00787862026714e-09,4.606068986642986,1.00787862026714e-09,4.606068986642986,1.00787862026714e-09,4.606068986642986,1.00787862026714e-09,4.606068986642986,1.00787862026714e-09,-0.04628292058104071
1.009288648055111e-09,4.535567597244476,1.009288648055111e-09,4.535567597244476,1.009288648055111e-09,4.535567597244476,1.009288648055111e-09,4.535567597244476,1.009288648055111e-09,-0.05506957669498939
1.010842311593251e-09,4.457884420337436,1.010842311593251e-09,4.457884420337436,1.010842311593251e-09,4.457884420337436,1.010842311593251e-09,4.457884420337436,1.010842311593251e-09,-0.06481187349569753
1.012553542633991e-09,4.372322868300451,1.012553542633991e-09,4.372322868300451,1.012553542633991e-09,4.372322868300451,1.012553542633991e-09,4.372322868300451,1.012553542633991e-09,-0.0755783469871943
1.014439583908151e-09,4.278020804592447,1.014439583908151e-09,4.278020804592447,1.014439583908151e-09,4.278020804592447,1.014439583908151e-09,4.278020804592447,1.014439583908151e-09,-0.08744925263436537
1.01651842944842e-09,4.174078527579024,1.01651842944842e-09,4.174078527579024,1.01651842944842e-09,4.174078527579024,1.01651842944842e-09,4.174078527579024,1.01651842944842e-09,-0.1004983310721534
1.018598268357371e-09,4.070086582131432,1.018598268357371e-09,4.070086582131432,1.018598268357371e-09,4.070086582131432,1.018598268357371e-09,4.070086582131432,1.018598268357371e-09,-0.1134826404429354
1.021105436448195e-09,3.944728177590275,1.021105436448195e-09,3.944728177590275,1.021105436448195e-09,3.944728177590275,1.021105436448195e-09,3.944728177590275,1.021105436448195e-09,-0.1290014686743555
1.023148105199804e-09,3.842594740009788,1.023148105199804e-09,3.842594740009788,1.023148105199804e-09,3.842594740009788,1.023148105199804e-09,3.842594740009788,1.023148105199804e-09,-0.1415179193154235
1.025932200614724e-09,3.703389969263819,1.025932200614724e-09,3.703389969263819,1.025932200614724e-09,3.703389969263819,1.025932200614724e-09,3.703389969263819,1.025932200614724e-09,-0.1583680656561836
1.02932839158327e-09,3.533580420836478,1.02932839158327e-09,3.533580420836478,1.02932839158327e-09,3.533580420836478,1.02932839158327e-09,3.533580420836478,1.02932839158327e-09,-0.1785730010469898
1.033117942285987e-09,3.344102885700632,1.033117942285987e-09,3.344102885700632,1.033117942285987e-09,3.344102885700632,1.033117942285987e-09,3.344102885700632,1.033117942285987e-09,-0.2006527605237197
1.03736692021109e-09,3.131653989445497,1.03736692021109e-09,3.131653989445497,1.03736692021109e-09,3.131653989445497,1.03736692021109e-09,3.131653989445497,1.03736692021109e-09,-0.2248327167692196
1.042098453942555e-09,2.895077302872241,1.042098453942555e-09,2.895077302872241,1.042098453942555e-09,2.895077302872241,1.042098453942555e-09,2.895077302872241,1.042098453942555e-09,-0.2510765339442019
1.047333367374621e-09,2.633331631268952,1.047333367374621e-09,2.633331631268952,1.047333367374621e-09,2.633331631268952,1.047333367374621e-09,2.633331631268952,1.047333367374621e-09,-0.279347569052826
1.053045168634006e-09,2.347741568299718,1.053045168634006e-09,2.347741568299718,1.053045168634006e-09,2.347741568299718,1.053045168634006e-09,2.347741568299718,1.053045168634006e-09,-0.3093950393876419
1.059122193562006e-09,2.043890321899725,1.059122193562006e-09,2.043890321899725,1.059122193562006e-09,2.043890321899725,1.059122193562006e-09,2.043890321899725,1.059122193562006e-09,-0.3406074901918181
1.065389217919794e-09,1.730539104010302,1.065389217919794e-09,1.730539104010302,1.065389217919794e-09,1.730539104010302,1.065389217919794e-09,1.730539104010302,1.065389217919794e-09,-0.372158353356143
1.068379552103083e-09,1.581022394845855,1.068379552103083e-09,1.581022394845855,1.068379552103083e-09,1.581022394845855,1.068379552103083e-09,1.581022394845855,1.068379552103083e-09,-0.3870223705314702
1.070067926879077e-09,1.496603656046153,1.070067926879077e-09,1.496603656046153,1.070067926879077e-09,1.496603656046153,1.070067926879077e-09,1.496603656046153,1.070067926879077e-09,-0.3957280616814091
1.071266932183754e-09,1.4366533908123,1.071266932183754e-09,1.4366533908123,1.071266932183754e-09,1.4366533908123,1.071266932183754e-09,1.4366533908123,1.071266932183754e-09,-0.403581484003971
1.072342408544819e-09,1.382879572759046,1.072342408544819e-09,1.382879572759046,1.072342408544819e-09,1.382879572759046,1.072342408544819e-09,1.382879572759046,1.072342408544819e-09,-0.411292037672108
1.073713026981282e-09,1.314348650935895,1.073713026981282e-09,1.314348650935895,1.073713026981282e-09,1.314348650935895,1.073713026981282e-09,1.314348650935895,1.073713026981282e-09,-0.4209628007495608
1.074950262428234e-09,1.252486878588283,1.074950262428234e-09,1.252486878588283,1.074950262428234e-09,1.252486878588283,1.074950262428234e-09,1.252486878588283,1.074950262428234e-09,-0.429344707807945
1.076998331843235e-09,1.150083407838274,1.076998331843235e-09,1.150083407838274,1.076998331843235e-09,1.150083407838274,1.076998331843235e-09,1.150083407838274,1.076998331843235e-09,-0.4422321122562279
1.079845518667e-09,1.007724066650027,1.079845518667e-09,1.007724066650027,1.079845518667e-09,1.007724066650027,1.079845518667e-09,1.007724066650027,1.079845518667e-09,-0.4576272086787406
1.083071887142961e-09,0.846405642851964,1.083071887142961e-09,0.846405642851964,1.083071887142961e-09,0.846405642851964,1.083071887142961e-09,0.846405642851964,1.083071887142961e-09,-0.4709628566387354
1.086606477838559e-09,0.6696761080720464,1.086606477838559e-09,0.6696761080720464,1.086606477838559e-09,0.6696761080720464,1.086606477838559e-09,0.6696761080720464,1.086606477838559e-09,-0.4800216105045435
1.089528135401399e-09,0.5235932299300414,1.089528135401399e-09,0.5235932299300414,1.089528135401399e-09,0.5235932299300414,1.089528135401399e-09,0.5235932299300414,1.089528135401399e-09,-0.4828253647974847
1.091963288578608e-09,0.4018355710695827,1.091963288578608e-09,0.4018355710695827,1.091963288578608e-09,0.4018355710695827,1.091963288578608e-09,0.4018355710695827,1.091963288578608e-09,-0.4816213316658964
1.094332402282569e-09,0.2833798858715463,1.094332402282569e-09,0.2833798858715463,1.094332402282569e-09,0.2833798858715463,1.094332402282569e-09,0.2833798858715463,1.094332402282569e-09,-0.476854342661775
1.097048319551529e-09,0.1475840224235351,1.097048319551529e-09,0.1475840224235351,1.097048319551529e-09,0.1475840224235351,1.097048319551529e-09,0.1475840224235351,1.097048319551529e-09,-0.4666845357208945
1.098524159775765e-09,0.07379201121176548,1.098524159775765e-09,0.07379201121176548,1.098524159775765e-09,0.07379201121176548,1.098524159775765e-09,0.07379201121176548,1.098524159775765e-09,-0.4589466514383229
1.1e-09,2.220446049250313e-16,1.1e-09,2.220446049250313e-16,1.1e-09,2.220446049250313e-16,1.1e-09,2.220446049250313e-16,1.1e-09,-0.449875843423257
1.100541075538046e-09,2.185751579730777e-16,1.100541075538046e-09,2.185751579730777e-16,1.100541075538046e-09,2.185751579730777e-16,1.100541075538046e-09,2.185751579730777e-16,1.100541075538046e-09,-0.4442771674061869
1.101047528747482e-09,-4.388850394221322e-16,1.101047528747482e-09,-4.388850394221322e-16,1.101047528747482e-09,-4.388850394221322e-16,1.101047528747482e-09,-4.388850394221322e-16,1.101047528747482e-09,-0.4389754424124818
1.101600553509747e-09,-1.029665968468173e-16,1.101600553509747e-09,-1.029665968468173e-16,1.101600553509747e-09,-1.029665968468173e-16,1.101600553509747e-09,-1.029665968468173e-16,1.101600553509747e-09,-0.4330969195231376
1.102706603034277e-09,3.166359857928402e-16,1.102706603034277e-09,3.166359857928402e-16,1.102706603034277e-09,3.166359857928402e-16,1.102706603034277e-09,3.166359857928402e-16,1.102706603034277e-09,-0.4210490698532515
1.104687134211201e-09,2.277129939247342e-16,1.104687134211201e-09,2.277129939247342e-16,1.104687134211201e-09,2.277129939247342e-16,1.104687134211201e-09,2.277129939247342e-16,1.104687134211201e-09,-0.3985483892037442
1.106609883945206e-09,-2.049095276228194e-18,1.106609883945206e-09,-2.049095276228194e-18,1.106609883945206e-09,-2.049095276228194e-18,1.106609883945206e-09,-2.049095276228194e-18,1.106609883945206e-09,-0.3755974553924705
1.108827607767325e-09,-4.425507340524234e-16,1.108827607767325e-09,-4.425507340524234e-16,1.108827607767325e-09,-4.425507340524234e-16,1.108827607767325e-09,-4.425507340524234e-16,1.108827607767325e-09,-0.3478224092073512
1.111475375280253e-09,-3.265017941264316e-16,1.111475375280253e-09,-3.265017941264316e-16,1.111475375280253e-09,-3.265017941264316e-16,1.111475375280253e-09,-3.265017941264316e-16,1.111475375280253e-09,-0.3131227922975457
1.114651675695661e-09,-1.536259933601659e-16,1.114651675695661e-09,-1.536259933601659e-16,1.114651675695661e-09,-1.536259933601659e-16,1.114651675695661e-09,-1.536259933601659e-16,1.114651675695661e-09,-0.2695128657997068
1.118544444438523e-09,1.083186335534235e-16,1.118544444438523e-09,1.083186335534235e-16,1.118544444438523e-09,1.083186335534235e-16,1.118544444438523e-09,1.083186335534235e-16,1.118544444438523e-09,-0.213455256705099
